user_id,session_id,ts,event,level,amount,duration_sec,fps,device
u_0148,s_u_0148_0,2025-08-04 10:38:53.773559,install,0.0,,47.0,52.0,PC
u_0195,s_u_0195_0,2025-08-04 15:38:53.773559,install,0.0,,38.0,60.0,Android
u_0195,s_u_0195_0,2025-08-04 15:41:53.773559,tutorial_start,0.0,,171.0,34.0,Android
u_0195,s_u_0195_0,2025-08-04 15:44:53.773559,tutorial_complete,0.0,,63.0,52.0,Android
u_0174,s_u_0174_0,2025-08-04 16:38:53.773559,install,0.0,,42.0,57.0,iOS
u_0174,s_u_0174_0,2025-08-04 16:42:53.773559,tutorial_start,0.0,,279.0,44.0,iOS
u_0174,s_u_0174_0,2025-08-04 16:55:53.773559,tutorial_complete,0.0,,115.0,60.0,iOS
u_0183,s_u_0183_0,2025-08-04 17:38:53.773559,install,0.0,,70.0,41.0,iOS
u_0183,s_u_0183_0,2025-08-04 17:57:53.773559,tutorial_start,0.0,,159.0,50.0,iOS
u_0183,s_u_0183_0,2025-08-04 18:10:53.773559,tutorial_complete,0.0,,119.0,33.0,iOS
u_0012,s_u_0012_0,2025-08-04 18:38:53.773559,install,0.0,,53.0,35.0,iOS
u_0012,s_u_0012_0,2025-08-04 18:55:53.773559,tutorial_start,0.0,,128.0,59.0,iOS
u_0012,s_u_0012_0,2025-08-04 19:11:53.773559,tutorial_complete,0.0,,176.0,53.0,iOS
u_0193,s_u_0193_0,2025-08-04 19:38:53.773559,install,0.0,,57.0,35.0,Android
u_0193,s_u_0193_0,2025-08-04 20:05:53.773559,tutorial_start,0.0,,237.0,30.0,Android
u_0028,s_u_0028_0,2025-08-04 22:38:53.773559,install,0.0,,79.0,42.0,Android
u_0083,s_u_0083_0,2025-08-04 22:38:53.773559,install,0.0,,76.0,56.0,iOS
u_0112,s_u_0112_0,2025-08-04 22:38:53.773559,install,0.0,,53.0,39.0,iOS
u_0083,s_u_0083_0,2025-08-04 22:45:53.773559,tutorial_start,0.0,,183.0,51.0,iOS
